RegionNombre,Semana,Atenciones_Urg
Región de Antofagasta,2023-04-18,4382
Región de Antofagasta,2023-04-25,4172
Región de Antofagasta,2023-05-02,4628
Región de Antofagasta,2023-05-09,4822
Región de Antofagasta,2023-05-16,5076
Región de Antofagasta,2023-05-23,5046
Región de Antofagasta,2023-05-30,4392
Región de Antofagasta,2023-06-06,4288
Región de Antofagasta,2023-06-13,3636
Región de Antofagasta,2023-06-20,3347
Región de Antofagasta,2023-06-27,2971
Región de Antofagasta,2023-07-04,2688
Región de Antofagasta,2023-07-11,2636
Región de Antofagasta,2023-07-18,2744
Región de Antofagasta,2023-07-25,2635
Región de Antofagasta,2023-08-01,2963
Región de Antofagasta,2023-08-08,3248
Región de Antofagasta,2023-08-15,3526
Región de Antofagasta,2023-08-22,3204
Región de Antofagasta,2023-08-29,3150
Región de Antofagasta,2023-09-05,3367
Región de Antofagasta,2023-09-12,2845
Región de Antofagasta,2023-09-19,3341
Región de Antofagasta,2023-09-26,2974
Región de Antofagasta,2023-10-03,3408
Región de Antofagasta,2023-10-10,3586
Región de Antofagasta,2023-10-17,3715
Región de Antofagasta,2023-10-24,3629
Región de Antofagasta,2023-10-31,3316
Región de Antofagasta,2023-11-07,3413
Región de Antofagasta,2023-11-14,3189
Región de Antofagasta,2023-11-21,2985
Región de Antofagasta,2023-11-28,2620
Región de Antofagasta,2023-12-05,2463
Región de Antofagasta,2023-12-12,2079
Región de Antofagasta,2023-12-19,1815
Región de Antofagasta,2023-12-26,2156
Región de Antofagasta,2024-01-02,1856
Región de Antofagasta,2024-01-09,1591
Región de Antofagasta,2024-01-16,1595
Región de Antofagasta,2024-01-23,1689
Región de Antofagasta,2024-01-30,1666
Región de Antofagasta,2024-02-06,1677
Región de Antofagasta,2024-02-13,1693
Región de Antofagasta,2024-02-20,1635
Región de Antofagasta,2024-02-27,1675
Región de Antofagasta,2024-03-05,2106
Región de Antofagasta,2024-03-12,2934
Región de Antofagasta,2024-03-19,2919
Región de Antofagasta,2024-03-26,2847
Región de Antofagasta,2024-04-02,3184
Región de Antofagasta,2024-04-09,3403
Región de Antofagasta,2024-04-16,3837
Región de Antofagasta,2024-04-23,4789
Región de Antofagasta,2024-04-30,4790
Región de Antofagasta,2024-05-07,4733
Región de Antofagasta,2024-05-14,4682
Región de Antofagasta,2024-05-21,4764
Región de Antofagasta,2024-05-28,4065
Región de Antofagasta,2024-06-04,3927
Región de Antofagasta,2024-06-11,3693
Región de Antofagasta,2024-06-18,3765
Región de Antofagasta,2024-06-25,3224
Región de Antofagasta,2024-07-02,2829
Región de Antofagasta,2024-07-09,2506
